Item,Paid,Value,Status,Type,Purchased From,Date Purchased,Notes
Rotary Encoders (5x),9.62,9.62,Present,Part/Accessory,Amazon,8/2020,
Diodes (100x),4.29,4.29,Present,Part/Accessory,Amazon,8/2020,
Pro Micro (3x),16,16,Present,Part/Accessory,Amazon,8/2020,
Planck Case,10.81,8,Present,Part/Accessory,Amazon,6/2020,
Let's Split Screws,3.45,3.45,Present,Part/Accessory,Amazon,6/2020,
Drop Halo True (90x),39.45,45,Sold,Switches,Amazon,6/2020,
Super Lube PTFE Oil,11.90,11.90,Present,Lube,Amazon,4/2020,
Switch/Keycap Puller,5.40,5.40,Present,Part/Accessory,Amazon,4/2020,
Dielectric Grease,7.65,7.65,Present,Lube,Amazon,3/2020,
Drop Alt,250.00,190,Present,Keyboard,Amazon,3/2020,Turned switches into holy pandas
Switch Top Remover,8.73,8.73,Present,Part/Accessory,Amazon,3/2020,
Number Pad,18.56,10,Present,Keyboard,Amazon,11/2019,
Asceny Cable,0,20,Present,Part/Accessory,Amazon,10/2019,
Box Pinks (80x),27.20,30,Sold,Switches,NovelKeys,1/2020,
Box Navy (10x),3.40,3,Present,Switches,NovelKeys,1/2020,
YOK Purple Trash Pandas (80x),44,44,Present,Switches,NovelKeys,3/2020,Turned into Holy Pandas
Plate Mount Stabs (2x),4.50,4,Present,Switches,NovelKeys,3/2020,
Cherry Silent Black (50x),22.22,22.22,Present,Switches,NovelKeys,4/2020,Turned into MX ZIlents
GMK Bushido (Base + Nomad),195.02,330,GB,Keycaps,NovelKeys,4/2020,
Gateron Black Ink V2 (70x),52.50,90,Present,Switches,NovelKeys,6/2020,
NK Creams (60x),39.00,90,Present,Switches,NovelKeys,6/2020,
Box Jade (50x),17,17,Sold,Switches,NovelKeys,6/2020,
KAT Milkshake Ortho + Katakanas,105.18,105.18,Sold,Keycaps,NovelKeys,6/2020,
GMK Camping R2 Base,185.00,260,Present,Keycaps,NovelKeys,8/2020,
Deskeys Switch Films,7,7,Present,Part/Accessory,NovelKeys,8/2020,
GMK Camping R2 Novelties,60,80,Present,Keycaps,NovelKeys,8/2020,
Milkshake Deskpad,25,60,Present,Deskpad,NovelKeys,8/2020,Got switched out for colorful one for free! Mishap with the stock counts haha
Bushido Deskpad,25,60,Present,Deskpad,NovelKeys,8/2020,
